Sunrise Auto Sales|902 Maple Ave|213-888-9090
10021|2015|Toyota|Camry|Sedan|White|82344|10495.00
10022|2018|Honda|CR-V|SUV|Silver|65412|15995.00
10023|2014|Ford|Focus|Sedan|Gray|98123|8495.00
10024|2020|Tesla|Model 3|Sedan|Blue|31244|28995.00
10025|2017|Chevrolet|Tahoe|SUV|Black|72511|24995.00
10026|2013|BMW|X5|SUV|White|113204|17995.00
10027|2019|Nissan|Altima|Sedan|Red|48892|13995.00
10028|2016|Kia|Soul|Hatchback|Green|69321|9995.00
10029|2015|Jeep|Wrangler|SUV|Orange|87444|18995.00
10030|2012|Volkswagen|Jetta|Sedan|Gray|124785|7495.00
